# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Feb 15 11:02:28 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.5, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00415 -0.56713 10.07188 0.8049260378 2.4204350623    0.804  0.038  3.7766  4.364    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -7.5e-15      0.00 8.095e-01 1.873e-01 5.638e-04 1.545e-04 1.407e-03 -1.000 3.210e-03 4.676 5.026 5.413 4.457
0.00415 -0.56713 10.07188 0.8123660088 2.4229735096    0.811  0.077  3.7785  4.336    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 8.119e-01 1.849e-01 5.577e-04 1.529e-04 1.393e-03 -1.000 3.149e-03 4.576 4.927 5.310 4.362
0.00415 -0.56713 10.07188 0.8194971085 2.4253568887    0.818  0.116  3.7800  4.307    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-14      0.00 8.142e-01 1.827e-01 5.522e-04 1.514e-04 1.380e-03 -1.000 3.120e-03 4.480 4.831 5.210 4.269
0.00415 -0.56713 10.07188 0.8295019269 2.4286214230    0.828  0.174  3.7816  4.261    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-14      0.00 8.160e-01 1.810e-01 5.479e-04 1.503e-04 1.369e-03 -1.000 3.075e-03 4.336 4.688 5.063 4.130
0.00415 -0.56713 10.07188 0.8329466581 2.4297245753    0.832  0.194  3.7821  4.244    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-14      0.00 8.162e-01 1.807e-01 5.474e-04 1.501e-04 1.368e-03 -1.000 3.091e-03 4.285 4.636 5.011 4.079
0.00415 -0.56713 10.07188 0.8407580256 2.4321876435    0.839  0.245  3.7820  4.197    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-13      0.00 8.162e-01 1.807e-01 5.479e-04 1.503e-04 1.370e-03 -1.000 3.081e-03 4.158 4.509 4.884 3.952
0.00415 -0.56713 10.07188 0.8438009024 2.4331329368    0.842  0.265  3.7817  4.177    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-13      0.00 8.161e-01 1.808e-01 5.483e-04 1.503e-04 1.370e-03 -1.000 3.076e-03 4.107 4.458 4.833 3.901
0.00415 -0.56713 10.07188 0.8440622091 2.4332137485    0.843  0.267  3.7817  4.175    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-13      0.00 8.161e-01 1.808e-01 5.483e-04 1.503e-04 1.370e-03 -1.000 3.076e-03 4.103 4.454 4.829 3.897
0.00415 -0.56713 10.07188 0.8512905240 2.4354265762    0.850  0.320  3.7795  4.117    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-13      0.00 8.150e-01 1.818e-01 5.529e-04 1.516e-04 1.383e-03 -1.000 3.139e-03 3.970 4.321 4.699 3.760
0.00415 -0.56713 10.07188 0.8525158167 2.4357974040    0.851  0.330  3.7790  4.106    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-13      0.00 8.145e-01 1.824e-01 5.548e-04 1.522e-04 1.387e-03 -1.000 3.140e-03 3.946 4.297 4.677 3.735
