name,columns,statistic_name,statistic,pval,is_normal
ngc 6254,5p_color,MC - Henze-Zirkler,735.1090406634244,0.0,False
ngc 6254,7p,MC - Henze-Zirkler,205.0624076606226,0.0,False
ngc 6256,5p,Henze-Zirkler,7.506314833669841,1.9859283555260167e-234,False
ngc 6256,3p,Henze-Zirkler,32.0666435662959,2.234242345386389e-107,False
ngc 6256,5p_color,Henze-Zirkler,18.352950955403074,0.0,False
ngc 6256,7p,Henze-Zirkler,5.706052436142053,0.0,False
pal 15,5p,Henze-Zirkler,17.084975399866536,0.0,False
pal 15,3p,Henze-Zirkler,98.86542391917729,0.0,False
pal 15,5p_color,Henze-Zirkler,126.84733555983632,0.0,False
pal 15,7p,Henze-Zirkler,25.373367290309996,0.0,False
ngc 6266,5p,MC - Henze-Zirkler,17.570403516643996,0.0,False
ngc 6266,3p,MC - Henze-Zirkler,68.09179033246521,4.80494128119831e-293,False
ngc 6266,5p_color,MC - Henze-Zirkler,81.01610327950374,0.0,False
ngc 6266,7p,MC - Henze-Zirkler,21.132470565963153,0.0,False
ngc 6273,5p,MC - Henze-Zirkler,26.844425345340348,0.0,False
ngc 6273,3p,MC - Henze-Zirkler,80.07785720291588,0.0,False
ngc 6273,5p_color,MC - Henze-Zirkler,73.43002695945843,0.0,False
ngc 6273,7p,MC - Henze-Zirkler,21.678430734423063,0.0,False
ngc 6284,5p,Henze-Zirkler,8.703103837018066,1.3672546082309424e-252,False
ngc 6284,3p,Henze-Zirkler,45.17774336120881,1.8810804038325378e-122,False
ngc 6284,5p_color,Henze-Zirkler,18.985640001493465,0.0,False
ngc 6284,7p,Henze-Zirkler,4.9489567814217095,0.0,False
ngc 6287,5p,Henze-Zirkler,9.182803599232615,3.164465646417564e-249,False
ngc 6287,3p,Henze-Zirkler,45.9669235777909,2.37544649786992e-118,False
ngc 6287,5p_color,Henze-Zirkler,18.03470941059882,0.0,False
ngc 6287,7p,Henze-Zirkler,5.457199780580362,0.0,False
ngc 6293,5p,MC - Henze-Zirkler,13.232542000886125,0.0,False
ngc 6293,3p,MC - Henze-Zirkler,39.094828525750025,4.613370753054198e-217,False
ngc 6293,5p_color,MC - Henze-Zirkler,72.85379717658977,0.0,False
ngc 6293,7p,MC - Henze-Zirkler,17.80969836313263,0.0,False
ngc 6304,5p,MC - Henze-Zirkler,11.461339861065651,0.0,False
ngc 6304,3p,MC - Henze-Zirkler,43.76339544748859,8.230812123926778e-243,False
ngc 6304,5p_color,MC - Henze-Zirkler,76.61726147498804,0.0,False
ngc 6304,7p,MC - Henze-Zirkler,17.65050414342383,0.0,False
ngc 6316,5p,Henze-Zirkler,11.57970911727681,0.0,False
ngc 6316,3p,Henze-Zirkler,42.23403135091805,6.551671572396898e-245,False
ngc 6316,5p_color,Henze-Zirkler,63.365797063186946,0.0,False
ngc 6316,7p,Henze-Zirkler,16.399932178556515,0.0,False
ngc 6341,5p,MC - Henze-Zirkler,168.7921387046912,0.0,False
ngc 6341,3p,MC - Henze-Zirkler,1146.8300251244452,0.0,False
ngc 6341,5p_color,MC - Henze-Zirkler,814.8614268773111,0.0,False
ngc 6341,7p,MC - Henze-Zirkler,159.04276357291414,0.0,False
ngc 6325,5p,Henze-Zirkler,13.598707997283517,0.0,False
ngc 6325,3p,Henze-Zirkler,34.888786877538955,4.178097441038243e-151,False
ngc 6325,5p_color,Henze-Zirkler,31.008777903983045,0.0,False
ngc 6325,7p,Henze-Zirkler,10.392908177881823,0.0,False
ngc 6333,5p,MC - Henze-Zirkler,33.83264674424661,0.0,False
ngc 6333,3p,MC - Henze-Zirkler,125.18695627738609,0.0,False
ngc 6333,5p_color,MC - Henze-Zirkler,103.27625085774376,0.0,False
ngc 6333,7p,MC - Henze-Zirkler,30.545405407564246,0.0,False
ngc 6342,5p,Henze-Zirkler,14.553324352365765,0.0,False
ngc 6342,3p,Henze-Zirkler,59.14968500666161,2.7263480556142745e-188,False
ngc 6342,5p_color,Henze-Zirkler,33.60872549934299,0.0,False
ngc 6342,7p,Henze-Zirkler,12.454007305358813,0.0,False
ngc 6356,5p,Henze-Zirkler,22.77365905843276,0.0,False
ngc 6356,3p,Henze-Zirkler,129.1951019190072,1.9062173319695808e-302,False
ngc 6356,5p_color,Henze-Zirkler,102.40174007286394,0.0,False
ngc 6356,7p,Henze-Zirkler,23.172662351315218,0.0,False
ngc 6355,5p,Henze-Zirkler,10.970118012766097,0.0,False
ngc 6355,3p,Henze-Zirkler,36.16078811776605,5.175105702708614e-234,False
ngc 6355,5p_color,Henze-Zirkler,63.14013378395243,0.0,False
ngc 6355,7p,Henze-Zirkler,16.171609374446735,0.0,False
ngc 6352,5p,MC - Henze-Zirkler,51.793668294777,0.0,False
ngc 6352,3p,MC - Henze-Zirkler,242.2315162067243,0.0,False
ngc 6352,5p_color,MC - Henze-Zirkler,181.4846376801956,0.0,False
ngc 6352,7p,MC - Henze-Zirkler,46.19733860892815,0.0,False
ngc 6366,5p,MC - Henze-Zirkler,153.56562365902857,0.0,False
ngc 6366,3p,MC - Henze-Zirkler,332.0600477525612,0.0,False
ngc 6366,5p_color,MC - Henze-Zirkler,277.23185177752515,0.0,False
ngc 6366,7p,MC - Henze-Zirkler,115.81878879680454,0.0,False
ngc 6362,5p,MC - Henze-Zirkler,172.03481619368762,0.0,False
ngc 6362,3p,MC - Henze-Zirkler,799.19191130861,0.0,False
ngc 6362,5p_color,MC - Henze-Zirkler,580.8186359517945,0.0,False
ngc 6362,7p,MC - Henze-Zirkler,153.2429378146956,0.0,False
ngc 6380,5p,Henze-Zirkler,13.475041297736864,0.0,False
ngc 6380,3p,Henze-Zirkler,41.00997820730249,2.6794812354991637e-171,False
ngc 6380,5p_color,Henze-Zirkler,43.70830790452166,0.0,False
ngc 6380,7p,Henze-Zirkler,13.563054905532518,0.0,False
ngc 6388,5p,MC - Henze-Zirkler,21.583761747357563,0.0,False
ngc 6388,3p,MC - Henze-Zirkler,80.16074937745145,0.0,False
ngc 6388,5p_color,MC - Henze-Zirkler,107.48654022979863,0.0,False
ngc 6388,7p,MC - Henze-Zirkler,27.64160845771044,0.0,False
ngc 6402,5p,Henze-Zirkler,131.8651123684632,0.0,False
ngc 6402,3p,Henze-Zirkler,298.74568510837156,0.0,False
ngc 6402,5p_color,Henze-Zirkler,186.51562623153853,0.0,False
ngc 6402,7p,Henze-Zirkler,80.96026351442039,0.0,False
ngc 6401,5p,MC - Henze-Zirkler,7.323672798104575,0.0,False
ngc 6401,3p,MC - Henze-Zirkler,21.082833891745295,2.6444421304354696e-154,False
ngc 6401,5p_color,MC - Henze-Zirkler,61.68889096065277,0.0,False
